error_rate,error_count,trials,rho,rho_t,theory_fail,n,q,k,m,t,attack_success,attack_elapsed,attack_attempts,attack_method,estimated_total
0.0,0,1000,0.07920792079207921,0.07920792079207921,6.223196317632674e-54,2,101,2,4,1,True,0.012130260467529297,988,brute_force,10201
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.5374145058940132e-36,3,101,2,6,1,True,7.801708221435547,526857,brute_force,1030301
0.0,0,1000,0.07920792079207921,0.07920792079207921,7.965118871275188e-28,4,101,2,8,1,False,60.00000262260437,4453754,brute_force,104060401
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.3818604552707784e-22,5,101,2,10,1,,,,skipped,10510100501
0.0,0,1000,0.07920792079207921,0.07920792079207921,4.36835805014434e-19,6,101,2,12,1,,,,skipped,1061520150601
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.3969170754261135e-16,7,101,2,14,1,,,,skipped,107213535210701
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.0653581628545829e-14,8,101,2,16,1,,,,skipped,10828567056280801
0.0,0,1000,0.07920792079207921,0.07920792079207921,3.121548071980112e-13,9,101,2,18,1,,,,skipped,1093685272684360901
0.0,0,1000,0.07920792079207921,0.07920792079207921,4.6787232219735504e-12,10,101,2,20,1,,,,skipped,110462212541120451001
0.0,0,1000,0.07920792079207921,0.07920792079207921,4.304715446076174e-11,11,101,2,22,1,,,,skipped,11156683466653165551101
0.0,0,1000,0.07920792079207921,0.07920792079207921,2.7456346222102553e-10,12,101,2,24,1,,,,skipped,1126825030131969720661201
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.3207371597196988e-09,13,101,2,26,1,,,,skipped,113809328043328941786781301
0.0,0,1000,0.07920792079207921,0.07920792079207921,5.088880627318209e-09,14,101,2,28,1,,,,skipped,11494742132376223120464911401
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.6415546038529273e-08,15,101,2,30,1,,,,skipped,1160968955369998535166956051501
0.0,0,1000,0.07920792079207921,0.07920792079207921,4.58270406598834e-08,16,101,2,32,1,,,,skipped,117257864492369852051862561201601
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.135653442016664e-07,17,101,2,34,1,,,,skipped,11843044313729355057238118681361701
0.0,0,1000,0.07920792079207921,0.07920792079207921,2.5480478843613937e-07,18,101,2,36,1,,,,skipped,1196147475686664860781049986817531801
0.0,0,1000,0.07920792079207921,0.07920792079207921,5.257576840620577e-07,19,101,2,38,1,,,,skipped,120810895044353150938886048668570711901
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.010197982855774e-06,20,101,2,40,1,,,,skipped,12201900399479668244827490915525641902001
