error_rate,error_count,trials,rho,rho_t,theory_fail,n,q,k,m,t
0.0,0,1000,0.039603960396039604,0.039603960396039604,6.223196317632674e-54,8,101,1,16,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.0653581628545829e-14,8,101,2,16,1
0.0,0,1000,0.1188118811881188,0.1188118811881188,2.5480478843613937e-07,8,101,3,16,1
0.0,0,1000,0.15841584158415842,0.15841584158415842,0.00011081597736337853,8,101,4,16,1
0.005,5,1000,0.19801980198019803,0.19801980198019803,0.0019849107320295033,8,101,5,16,1
0.02,20,1000,0.2376237623762376,0.2376237623762376,0.009964253844412475,8,101,6,16,1
0.046,46,1000,0.27722772277227725,0.27722772277227725,0.02718056359331325,8,101,7,16,1
0.071,71,1000,0.31683168316831684,0.31683168316831684,0.05326077871731438,8,101,8,16,1
0.109,109,1000,0.3564356435643564,0.3564356435643564,0.08578842783266741,8,101,9,16,1
0.132,132,1000,0.39603960396039606,0.39603960396039606,0.12204651986119659,8,101,10,16,1
0.175,175,1000,0.43564356435643564,0.43564356435643564,0.1598212209688299,8,101,11,16,1
0.241,241,1000,0.4752475247524752,0.4752475247524752,0.19756025722110782,8,101,12,16,1
0.252,252,1000,0.5148514851485149,0.5148514851485149,0.23427612873333037,8,101,13,16,1
0.296,296,1000,0.5544554455445545,0.5544554455445545,0.2693947607269547,8,101,14,16,1
0.314,314,1000,0.594059405940594,0.594059405940594,0.3026219855791402,8,101,15,16,1
0.348,348,1000,0.6336633663366337,0.6336633663366337,0.33384393898941744,8,101,16,16,1
0.362,362,1000,0.6732673267326733,0.6732673267326733,0.36305820169214076,8,101,17,16,1
0.411,411,1000,0.7128712871287128,0.7128712871287128,0.390328133249249,8,101,18,16,1
0.405,405,1000,0.7524752475247525,0.7524752475247525,0.41575338323304345,8,101,19,16,1
0.429,429,1000,0.7920792079207921,0.7920792079207921,0.43945124736294205,8,101,20,16,1
0.463,463,1000,0.8316831683168316,0.8316831683168316,0.4615451329691552,8,101,21,16,1
0.482,482,1000,0.8712871287128713,0.8712871287128713,0.48215761934106327,8,101,22,16,1
0.478,478,1000,0.9108910891089109,0.9108910891089109,0.5014064558946375,8,101,23,16,1
0.455,455,1000,0.9504950495049505,0.9504950495049505,0.5194024188428126,8,101,24,16,1
0.484,484,1000,0.9900990099009901,0.9900990099009901,0.5362483282541735,8,101,25,16,1
0.484,484,1000,1.0297029702970297,1.0297029702970297,0.5520387761743332,8,101,26,16,1
0.509,509,1000,1.0693069306930694,1.0693069306930694,0.5668602779691972,8,101,27,16,1
0.493,493,1000,1.108910891089109,1.108910891089109,0.5807916635910519,8,101,28,16,1
