error_rate,error_count,trials,rho,rho_t,theory_fail,n,q,k,m,t
0.052,26,500,0.23529411764705882,0.23529411764705882,0.009252445603533574,8,17,1,16,1
0.284,142,500,0.47058823529411764,0.47058823529411764,0.19315872097254982,8,17,2,16,1
0.4,200,500,0.7058823529411765,0.7058823529411765,0.38565298663545133,8,17,3,16,1
0.506,253,500,0.9411764705882353,0.9411764705882353,0.515275214303349,8,17,4,16,1
0.48,240,500,1.1764705882352942,1.1764705882352942,0.6027035816696091,8,17,5,16,1
0.518,259,500,1.411764705882353,1.411764705882353,0.664459965243233,8,17,6,16,1
0.478,239,500,1.6470588235294117,1.6470588235294117,0.7100435877726015,8,17,7,16,1
0.484,242,500,1.8823529411764706,1.8823529411764706,0.7449367339396495,8,17,8,16,1
0.498,249,500,2.1176470588235294,2.1176470588235294,0.772446794499539,8,17,9,16,1
0.048,24,500,0.21052631578947367,0.21052631578947367,0.0036285478060277864,8,19,1,16,1
0.26,130,500,0.42105263157894735,0.42105263157894735,0.1458397251879579,8,19,2,16,1
0.362,181,500,0.631578947368421,0.631578947368421,0.33225105409665223,8,19,3,16,1
0.462,231,500,0.8421052631578947,0.8421052631578947,0.4671081824790131,8,19,4,16,1
0.484,242,500,1.0526315789473684,1.0526315789473684,0.5607325179763345,8,19,5,16,1
0.51,255,500,1.263157894736842,1.263157894736842,0.6278218798495794,8,19,6,16,1
0.502,251,500,1.4736842105263157,1.4736842105263157,0.6777477822399578,8,19,7,16,1
0.5,250,500,1.6842105263157894,1.6842105263157894,0.7161596143226262,8,19,8,16,1
0.476,238,500,1.894736842105263,1.894736842105263,0.7465463834685693,8,19,9,16,1
0.024,12,500,0.17391304347826086,0.17391304347826086,0.00042969324784704246,8,23,1,16,1
0.13,65,500,0.34782608695652173,0.34782608695652173,0.07831108250762664,8,23,2,16,1
0.278,139,500,0.5217391304347826,0.5217391304347826,0.24050966678488084,8,23,3,16,1
0.38,190,500,0.6956521739130435,0.6956521739130435,0.3787047326428412,8,23,4,16,1
0.462,231,500,0.8695652173913043,0.8695652173913043,0.4812906090245209,8,23,5,16,1
0.474,237,500,1.0434782608695652,1.0434782608695652,0.5572998065155725,8,23,6,16,1
0.49,245,500,1.2173913043478262,1.2173913043478262,0.6149500596033888,8,23,7,16,1
0.5,250,500,1.391304347826087,1.391304347826087,0.6598337658481601,8,23,8,16,1
0.47,235,500,1.565217391304348,1.565217391304348,0.6956213630079122,8,23,9,16,1
0.482,241,500,1.7391304347826086,1.7391304347826086,0.724752656547603,8,23,10,16,1
0.0,0,500,0.13793103448275862,0.13793103448275862,9.008429772621155e-06,8,29,1,16,1
0.082,41,500,0.27586206896551724,0.27586206896551724,0.026428946147557038,8,29,2,16,1
0.194,97,500,0.41379310344827586,0.41379310344827586,0.13889992157439635,8,29,3,16,1
0.354,177,500,0.5517241379310345,0.5517241379310345,0.2670313294468234,8,29,4,16,1
0.418,209,500,0.6896551724137931,0.6896551724137931,0.37457300970848395,8,29,5,16,1
