error_rate,error_count,trials,rho,rho_t,theory_fail,n,q,k,m,t
0.0,0,1000,0.07920792079207921,0.07920792079207921,7.965118871275188e-28,8,101,2,8,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,6.465511606182702e-25,8,101,2,9,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.3818604552707784e-22,8,101,2,10,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.1184459957165681e-20,8,101,2,11,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,4.36835805014434e-19,8,101,2,12,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,9.738085981226183e-18,8,101,2,13,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.3969170754261135e-16,8,101,2,14,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.408061328791378e-15,8,101,2,15,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.0653581628545829e-14,8,101,2,16,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,6.363909022859198e-14,8,101,2,17,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,3.121548071980112e-13,8,101,2,18,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.2969095366868699e-12,8,101,2,19,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,4.6787232219735504e-12,8,101,2,20,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.4953963453836327e-11,8,101,2,21,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,4.304715446076174e-11,8,101,2,22,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.1313541490182149e-10,8,101,2,23,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,2.7456346222102553e-10,8,101,2,24,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,6.211758870021301e-10,8,101,2,25,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.3207371597196988e-09,8,101,2,26,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,2.6572512837980457e-09,8,101,2,27,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,5.088880627318209e-09,8,101,2,28,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,9.32378170908496e-09,8,101,2,29,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.6415546038529273e-08,8,101,2,30,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,2.787910886911725e-08,8,101,2,31,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,4.58270406598834e-08,8,101,2,32,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,7.312514629182743e-08,8,101,2,33,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.135653442016664e-07,8,101,2,34,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.7205294905059933e-07,8,101,2,35,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,2.5480478843613937e-07,8,101,2,36,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,3.6955407897497594e-07,8,101,2,37,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,5.257576840620577e-07,8,101,2,38,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,7.348012728629817e-07,8,101,2,39,1
0.0,0,1000,0.07920792079207921,0.07920792079207921,1.010197982855774e-06,8,101,2,40,1
