error_rate,error_count,trials,rho,rho_t,theory_fail,n,q,k,m,t,target_met
0.0,0,2000,0.01556420233463035,0.01556420233463035,2.412669355318475e-170,16,257,1,32,1,True
0.0,0,2000,0.0311284046692607,0.0311284046692607,5.467048076633937e-44,16,257,2,32,1,True
0.0,0,2000,0.04669260700389105,0.04669260700389105,1.7981720060400162e-20,16,257,3,32,1,True
0.0,0,2000,0.0622568093385214,0.0622568093385214,3.518961163895071e-12,16,257,4,32,1,True
0.0,0,2000,0.07782101167315175,0.07782101167315175,2.633378053237259e-08,16,257,5,32,1,True
0.0,0,2000,0.0933852140077821,0.0933852140077821,3.5376860560723144e-06,16,257,6,32,1,True
0.0,0,2000,0.10894941634241245,0.10894941634241245,7.054563139035971e-05,16,257,7,32,1,True
0.0005,1,2000,0.1245136186770428,0.1245136186770428,0.000505861524539066,16,257,8,32,1,True
0.003,6,2000,0.14007782101167315,0.14007782101167315,0.0019932946093425843,16,257,9,32,1,False
0.0075,15,2000,0.1556420233463035,0.1556420233463035,0.005400729591743042,16,257,10,32,1,False
0.015,30,2000,0.17120622568093385,0.17120622568093385,0.01143268266068889,16,257,11,32,1,False
