text_label,text,encoding,byte_count,bit_count,n,q,k,m,t,label,rho,rho_t,encrypt_count,encrypt_ms,decrypt_ms,correct
單一中文字,你,utf-8,3,24,4,101,2,8,1,低維 t=1,0.07920792079207921,0.07920792079207921,24,2.839514333269714,0.1466436672975154,True
單一中文字,你,utf-8,3,24,4,101,2,8,2,低維 t=2,0.07920792079207921,0.15841584158415842,12,0.9390186666375181,0.10296199980075471,True
單一中文字,你,utf-8,3,24,8,101,2,16,1,中維 t=1（基準）,0.07920792079207921,0.07920792079207921,24,2.186091999950198,0.4794009995142308,True
單一中文字,你,utf-8,3,24,8,101,2,16,2,中維 t=2,0.07920792079207921,0.15841584158415842,12,0.7831046665766431,0.43178233378663816,True
單一中文字,你,utf-8,3,24,8,257,3,16,1,中維 q=257 t=1,0.04669260700389105,0.04669260700389105,24,0.8954606661670065,0.1383446669933619,True
單一中文字,你,utf-8,3,24,16,257,3,32,1,高維 t=1（迷你Kyber）,0.04669260700389105,0.04669260700389105,24,0.7463426669952847,0.13600699943102276,True
短句,你好世界,utf-8,12,96,4,101,2,8,1,低維 t=1,0.07920792079207921,0.07920792079207921,96,2.901602999675864,0.5339193333687339,True
短句,你好世界,utf-8,12,96,4,101,2,8,2,低維 t=2,0.07920792079207921,0.15841584158415842,48,1.491896666266257,0.35124533375589334,True
短句,你好世界,utf-8,12,96,8,101,2,16,1,中維 t=1（基準）,0.07920792079207921,0.07920792079207921,96,2.922362667353203,0.6090059996495256,True
短句,你好世界,utf-8,12,96,8,101,2,16,2,中維 t=2,0.07920792079207921,0.15841584158415842,48,1.6407976660654338,0.3546679993936171,True
短句,你好世界,utf-8,12,96,8,257,3,16,1,中維 q=257 t=1,0.04669260700389105,0.04669260700389105,96,3.4907656663563102,0.6422620002316156,True
短句,你好世界,utf-8,12,96,16,257,3,32,1,高維 t=1（迷你Kyber）,0.04669260700389105,0.04669260700389105,96,2.41925666644723,0.43724566664119874,True
含英文,Hello 世界 2024,utf-8,17,136,4,101,2,8,1,低維 t=1,0.07920792079207921,0.07920792079207921,136,3.102858666655569,0.5984630000360388,True
含英文,Hello 世界 2024,utf-8,17,136,4,101,2,8,2,低維 t=2,0.07920792079207921,0.15841584158415842,68,1.3487133328453638,0.40700600038690027,True
含英文,Hello 世界 2024,utf-8,17,136,8,101,2,16,1,中維 t=1（基準）,0.07920792079207921,0.07920792079207921,136,3.6540903335359567,0.4478786662123942,True
含英文,Hello 世界 2024,utf-8,17,136,8,101,2,16,2,中維 t=2,0.07920792079207921,0.15841584158415842,68,1.3524230004501685,0.3482193333184114,False
含英文,Hello 世界 2024,utf-8,17,136,8,257,3,16,1,中維 q=257 t=1,0.04669260700389105,0.04669260700389105,136,3.741326333814262,0.4357636662462028,True
含英文,Hello 世界 2024,utf-8,17,136,16,257,3,32,1,高維 t=1（迷你Kyber）,0.04669260700389105,0.04669260700389105,136,4.2672579996481845,0.7738869996198142,True
完整訊息,量子電腦威脅密碼學安全,utf-8,33,264,4,101,2,8,1,低維 t=1,0.07920792079207921,0.07920792079207921,264,6.8854230006157495,1.2125186664585879,True
完整訊息,量子電腦威脅密碼學安全,utf-8,33,264,4,101,2,8,2,低維 t=2,0.07920792079207921,0.15841584158415842,132,4.201261666821665,0.7922083332232432,True
完整訊息,量子電腦威脅密碼學安全,utf-8,33,264,8,101,2,16,1,中維 t=1（基準）,0.07920792079207921,0.07920792079207921,264,6.603115999799532,1.0676686664131314,True
完整訊息,量子電腦威脅密碼學安全,utf-8,33,264,8,101,2,16,2,中維 t=2,0.07920792079207921,0.15841584158415842,132,4.275039000276593,0.9047283335045601,True
完整訊息,量子電腦威脅密碼學安全,utf-8,33,264,8,257,3,16,1,中維 q=257 t=1,0.04669260700389105,0.04669260700389105,264,7.17688266680246,1.4419269997839972,True
完整訊息,量子電腦威脅密碼學安全,utf-8,33,264,16,257,3,32,1,高維 t=1（迷你Kyber）,0.04669260700389105,0.04669260700389105,264,6.168194332834294,1.0947923340912287,True
