rho_eff_target,uniform_k,uniform_rho_eff,uniform_error,uniform_theory,gauss_sigma,gauss_rho_eff,gauss_error,gauss_theory,cbd_eta,cbd_rho_eff,cbd_error,cbd_theory
0.05,1,0.06467299650912682,0.0,6.223196317632674e-54,0.5,0.05600845791576614,0.0,2.6691497228130067e-71,1,0.07920792079207921,0.0,1.5374145058940132e-36
0.1,2,0.12934599301825364,0.0,1.0653581628545829e-14,0.893,0.10000000000000002,0.0,1.5239706048321166e-23,2,0.11201691583153228,0.0,4.36835805014434e-19
0.15,2,0.12934599301825364,0.0,1.0653581628545829e-14,1.339,0.15,0.0,2.6167849372105988e-11,4,0.15841584158415842,0.0,2.7456346222102553e-10
0.2,3,0.19401898952738042,0.0,2.548047884361375e-07,1.785,0.20000000000000004,0.0,5.73303143758389e-07,6,0.19401898952738042,0.0,2.548047884361375e-07
0.25,4,0.2586919860365073,0.0,0.00011081597736337853,2.232,0.25,0.0,6.334248366623973e-05,10,0.2504774384291786,0.0,6.541466646663429e-05
0.3,5,0.3233649825456341,0.006666666666666667,0.0019849107320295033,2.678,0.3,0.0,0.0008581206663936744,14,0.29636890192268844,0.0033333333333333335,0.0007403777355967099
0.35,5,0.3233649825456341,0.006666666666666667,0.0019849107320295033,3.125,0.3499999999999999,0.013333333333333334,0.00427473396017255,20,0.3542285904950162,0.01,0.004757125609700254
0.4,6,0.38803797905476084,0.02666666666666667,0.00996425384441246,3.571,0.4000000000000001,0.006666666666666667,0.012419330651552277,26,0.4038827337499235,0.0033333333333333335,0.013287615467198458
0.45,7,0.4527109755638877,0.043333333333333335,0.02718056359331325,4.017,0.45,0.043333333333333335,0.026268291382042234,32,0.44806766332612913,0.05,0.025627802282229033
0.5,8,0.5173839720730146,0.06333333333333334,0.05326077871731438,4.464,0.5,0.04666666666666667,0.04550026389635839,40,0.5009548768583572,0.06333333333333334,0.04591348784166741
0.55,9,0.5820569685821414,0.13666666666666666,0.08578842783266741,4.91,0.55,0.09,0.06903634799441526,48,0.5487685726950898,0.03666666666666667,0.06841527339481003
0.6,9,0.5820569685821414,0.10666666666666667,0.08578842783266741,5.356,0.6,0.09,0.0955807045456294,57,0.5980066879422377,0.1,0.09448053396497642
0.65,10,0.6467299650912682,0.15333333333333332,0.12204651986119659,5.803,0.65,0.11,0.12393580567274248,67,0.648344774009699,0.12333333333333334,0.12297903593519825
0.7,11,0.7114029616003951,0.20333333333333334,0.1598212209688299,6.249,0.6999999999999998,0.13666666666666666,0.15312745101966943,78,0.699545415154681,0.14,0.15286064512617226
0.75,12,0.7760759581095217,0.21,0.1975602572211076,6.695,0.75,0.17333333333333334,0.18242243945173575,90,0.7514323152875357,0.17333333333333334,0.18325751081918673
0.8,12,0.7760759581095217,0.21,0.1975602572211076,7.142,0.8000000000000002,0.21,0.2112995473337106,102,0.7999607871969963,0.21,0.21127716527311147
0.85,13,0.8407489546186485,0.2633333333333333,0.23427612873333037,7.588,0.85,0.24,0.23940687879678935,115,0.8494103203773155,0.22666666666666666,0.23908084604595892
0.9,14,0.9054219511277753,0.31333333333333335,0.2693947607269547,8.035,0.9,0.20333333333333334,0.26652052580501073,129,0.8996290448792512,0.23333333333333334,0.26632339164428553
0.95,15,0.9700949476369022,0.30666666666666664,0.3026219855791402,8.481,0.9499999999999998,0.23666666666666666,0.2925098781838855,144,0.9504950495049505,0.25333333333333335,0.29276131806716565
1.0,15,0.9700949476369022,0.33666666666666667,0.3026219855791402,8.927,1.0,0.3233333333333333,0.31731050786291415,159,0.9987738782509696,0.31,0.31671677295482015
1.05,16,1.0347679441460291,0.37,0.33384393898941744,9.374,1.05,0.34,0.34090381592813024,176,1.0508118147660672,0.34,0.3412769594834901
1.1,17,1.099440940655156,0.35,0.36305820169214076,9.82,1.1,0.37333333333333335,0.36330214088689794,193,1.100391603124737,0.38333333333333336,0.3634729258330548
1.15,18,1.1641139371642828,0.35333333333333333,0.390328133249249,10.266,1.15,0.36,0.38453805299662336,211,1.1505615086205108,0.4066666666666667,0.3847700991740618
1.2,19,1.2287869336734096,0.4033333333333333,0.41575338323304356,10.713,1.2,0.43333333333333335,0.40465676192728617,230,1.2012475950972754,0.4033333333333333,0.40514491926140717
