q,param,param_name,rho_eff,theory_pfail,error_rate
17,1,eta,0.47058823529411764,0.03358661289689761,0.03
17,2,eta,0.6655122646461624,0.13294173056504724,0.135
17,3,eta,0.8150827329735892,0.2198717106287028,0.235
17,4,eta,0.9411764705882353,0.288008758003942,0.32
17,5,eta,1.0522672835293128,0.3419451635360653,0.3
17,6,eta,1.1527010554273778,0.38565298663545133,0.355
19,1,eta,0.42105263157894735,0.01754895019147672,0.01
19,2,eta,0.5954583420518296,0.09307828021831353,0.12
19,3,eta,0.7292845505553167,0.17031047118644138,0.1
19,4,eta,0.8421052631578947,0.23503045658642818,0.28
19,5,eta,0.941502306315701,0.28817563338396635,0.255
19,6,eta,1.031364102224496,0.332251054096652,0.305
19,7,eta,1.114000552027196,0.369363841825329,0.375
19,8,eta,1.1909166841036591,0.4010826134056492,0.395
23,1,eta,0.34782608695652173,0.004040274979892003,0.0
23,2,eta,0.4919003695210766,0.04205939394353995,0.05
23,3,eta,0.602452454806566,0.09693818842839903,0.095
23,4,eta,0.6956521739130435,0.1505759728248468,0.145
23,5,eta,0.7777627747825356,0.19853413502557604,0.225
23,6,eta,0.8519964322724097,0.24050966678488084,0.225
23,7,eta,0.9202613255876837,0.277192465099541,0.3
23,8,eta,0.9838007390421531,0.30940753129967324,0.33
23,9,eta,1.0434782608695652,0.3378947004248102,0.34
23,10,eta,1.0999226644063929,0.36326840504902125,0.4
23,11,eta,1.153608622732313,0.38602687878277453,0.405
29,1,eta,0.27586206896551724,0.00028896145176247103,0.0
29,2,eta,0.3901278792753366,0.010369374205224815,0.005
29,3,eta,0.47780711932934544,0.03635855317279068,0.05
29,4,eta,0.5517241379310345,0.06990897393646946,0.065
29,5,eta,0.6168463386206317,0.10498562654568079,0.125
29,6,eta,0.6757213083539801,0.1388999215743964,0.125
29,7,eta,0.7298624306385078,0.17064906649166722,0.22
29,8,eta,0.7802557585506732,0.19997210583576708,0.2
29,9,eta,0.8275862068965517,0.22691907173747927,0.22
29,10,eta,0.872352457977484,0.25166043283671735,0.265
29,11,eta,0.9149309766497654,0.2744031851943777,0.25
