q,param,param_name,rho_eff,theory_pfail,error_rate
17,0.5,sigma,0.3327561323230812,0.002654029359482342,0.015
17,1.0,sigma,0.6655122646461624,0.13294173056504724,0.19
17,1.5,sigma,0.9982683969692436,0.31647178784797825,0.345
19,0.5,sigma,0.2977291710259148,0.0007829382178911192,0.01
19,1.0,sigma,0.5954583420518296,0.09307828021831353,0.105
19,1.5,sigma,0.8931875130777444,0.2628903364198476,0.22
19,2.0,sigma,1.1909166841036591,0.4010826134056492,0.38
23,0.5,sigma,0.2459501847605383,4.7854839743773425e-05,0.0
23,1.0,sigma,0.4919003695210766,0.04205939394353995,0.075
23,1.5,sigma,0.737850554281615,0.17532581762086596,0.17
23,2.0,sigma,0.9838007390421531,0.30940753129967324,0.27
29,0.5,sigma,0.1950639396376683,2.951401925115697e-07,0.0
29,1.0,sigma,0.3901278792753366,0.010369374205224815,0.01
29,1.5,sigma,0.5851918189130049,0.08748033392519722,0.055
29,2.0,sigma,0.7802557585506732,0.19997210583576708,0.185
29,2.5,sigma,0.9753196981883414,0.30521937621459216,0.32
29,3.0,sigma,1.1703836378260097,0.39287193390004616,0.325
31,0.5,sigma,0.1824791693384639,4.251394408249114e-08,0.0
31,1.0,sigma,0.3649583386769278,0.0061431936047867996,0.0
31,1.5,sigma,0.5474375080153917,0.06774601384068937,0.08
31,2.0,sigma,0.7299166773538556,0.17068084940668493,0.175
31,2.5,sigma,0.9123958466923194,0.27307198664467414,0.23
31,3.0,sigma,1.0948750160307834,0.3610604602553753,0.315
37,0.5,sigma,0.15288795268898325,6.121610513034226e-11,0.0
37,1.0,sigma,0.3057759053779665,0.001074073290722385,0.01
37,1.5,sigma,0.4586638580669498,0.029239238256098966,0.015
37,2.0,sigma,0.611551810755933,0.10201039079298223,0.135
37,2.5,sigma,0.7644397634449163,0.19082326968597751,0.16
37,3.0,sigma,0.9173277161338996,0.2756589861228449,0.3
37,3.5,sigma,1.0702156688228828,0.350102185066024,0.345
41,0.5,sigma,0.13797205486566783,4.234563376336225e-13,0.0
41,1.0,sigma,0.27594410973133565,0.0002901688616734061,0.0
41,1.5,sigma,0.4139161645970035,0.015694295206034617,0.01
41,2.0,sigma,0.5518882194626713,0.06999220321388053,0.08
41,2.5,sigma,0.6898602743283391,0.14717877343162752,0.195
41,3.0,sigma,0.827832329194007,0.22705723087066976,0.255
41,3.5,sigma,0.9658043840596746,0.3004791776338115,0.265
41,4.0,sigma,1.1037764389253426,0.3649461402284999,0.37
43,0.5,sigma,0.13155474998819489,2.929488554487155e-14,0.0
43,1.0,sigma,0.26310949997638977,0.00014428851742548005,0.005
43,1.5,sigma,0.3946642499645847,0.011283333628654519,0.01
43,2.0,sigma,0.5262189999527795,0.05738727275572157,0.07
43,2.5,sigma,0.6577737499409745,0.12844072404145615,0.155
43,3.0,sigma,0.7893284999291694,0.20519117403509002,0.225
43,3.5,sigma,0.9208832499173643,0.2775170488435569,0.255
43,4.0,sigma,1.052437999905559,0.3420234728401633,0.355
43,4.5,sigma,1.1839927498937541,0.39833433952237207,0.355
47,0.5,sigma,0.12035860105302937,9.691555645277173e-17,0.0
47,1.0,sigma,0.24071720210605874,3.263528714756127e-05,0.0
47,1.5,sigma,0.36107580315908816,0.005614213548365346,0.01
47,2.0,sigma,0.4814344042121175,0.037789915800508826,0.045
47,2.5,sigma,0.6017930052651469,0.09657275342042587,0.08
47,3.0,sigma,0.7221516063181763,0.1661286859609361,0.15
47,3.5,sigma,0.8425102073712055,0.23525553265934684,0.24
47,4.0,sigma,0.962868808424235,0.2990079816577661,0.305
47,4.5,sigma,1.0832274094772645,0.35592008603469416,0.345
53,0.5,sigma,0.10673309904702605,7.310869685530323e-21,0.0
53,1.0,sigma,0.2134661980940521,2.8053126041729294e-06,0.0
53,1.5,sigma,0.32019929714107814,0.0017898432786234543,0.005
53,2.0,sigma,0.4269323961881042,0.019165754033449046,0.025
53,2.5,sigma,0.5336654952351302,0.06095345055493302,0.045
53,3.0,sigma,0.6403985942821563,0.11839934639567665,0.135
53,3.5,sigma,0.7471316933291823,0.18074909791848182,0.155
53,4.0,sigma,0.8538647923762084,0.24154025475246366,0.22
53,4.5,sigma,0.9605978914232345,0.29786704731508096,0.3
53,5.0,sigma,1.0673309904702604,0.3488015187443222,0.385
53,5.5,sigma,1.1740640895172865,0.3943571601963348,0.44
59,0.5,sigma,0.09587888558461662,1.8122170524396203e-25,0.0
59,1.0,sigma,0.19175777116923323,1.839040124749403e-07,0.0
59,1.5,sigma,0.28763665675384986,0.0005077990190448113,0.0
59,2.0,sigma,0.38351554233846646,0.009121772493137323,0.015
59,2.5,sigma,0.47939442792308307,0.03698179317299475,0.07
59,3.0,sigma,0.5752733135076997,0.08215723192250222,0.105
59,3.5,sigma,0.6711521990923163,0.13623080863213047,0.18
59,4.0,sigma,0.7670310846769329,0.19232629548934443,0.2
59,4.5,sigma,0.8629099702615496,0.24650940447254455,0.255
59,5.0,sigma,0.9587888558461661,0.2969563968229345,0.22
59,5.5,sigma,1.0546677414307828,0.343044998231266,0.31
59,6.0,sigma,1.1505466270153994,0.3847639510961134,0.4
61,0.5,sigma,0.09273531556544887,4.1245334202092374e-27,0.0
61,1.0,sigma,0.18547063113089773,6.979841318562145e-08,0.0
61,1.5,sigma,0.2782059466963466,0.00032506573949292927,0.0
61,2.0,sigma,0.37094126226179547,0.007021041256065324,0.015
61,2.5,sigma,0.4636765778272443,0.031030943002100395,0.03
61,3.0,sigma,0.5564118933926931,0.07229915572465015,0.08
61,3.5,sigma,0.649147208958142,0.12344275351755553,0.135
61,4.0,sigma,0.7418825245235909,0.1776833742914916,0.23
61,4.5,sigma,0.8346178400890398,0.23085739773358438,0.225
61,5.0,sigma,0.9273531556544886,0.2808830154818207,0.3
61,5.5,sigma,1.0200884712199374,0.3269345370318113,0.29
61,6.0,sigma,1.1128237867853863,0.3688578366241031,0.38
67,0.5,sigma,0.08443066044018478,2.3105283125593972e-32,0.0
67,1.0,sigma,0.16886132088036956,3.180123051662579e-09,0.0
67,1.5,sigma,0.25329198132055436,7.880257197317547e-05,0.0
67,2.0,sigma,0.33772264176073913,0.003066323352045426,0.0
67,2.5,sigma,0.4221533022009239,0.01784552847339293,0.025
67,3.0,sigma,0.5065839626411087,0.04838101172034758,0.04
67,3.5,sigma,0.5910146230812935,0.09064492264581402,0.07
67,4.0,sigma,0.6754452835214783,0.1387385745379245,0.1
67,4.5,sigma,0.7598759439616631,0.18817260371931643,0.175
67,5.0,sigma,0.8443066044018478,0.23625323356413908,0.22
67,5.5,sigma,0.9287372648420327,0.2816005569992003,0.285
67,6.0,sigma,1.0131679252822174,0.3236410623044689,0.32
67,6.5,sigma,1.0975985857224022,0.3622532808679385,0.345
67,7.0,sigma,1.182029246162587,0.39755120677975053,0.37
71,0.5,sigma,0.07967400351397719,3.918013810172089e-36,0.0
71,1.0,sigma,0.15934800702795437,3.4834969923326437e-10,0.0
71,1.5,sigma,0.2390220105419316,2.8678345254485122e-05,0.005
71,2.0,sigma,0.31869601405590875,0.0017022891285944993,0.0
71,2.5,sigma,0.39837001756988594,0.012065286549872043,0.02
71,3.0,sigma,0.4780440210838632,0.03645125942850064,0.03
71,3.5,sigma,0.5577180245978403,0.07296960358855711,0.07
71,4.0,sigma,0.6373920281118175,0.11667283343520607,0.125
71,4.5,sigma,0.7170660316257947,0.16314503181385764,0.19
71,5.0,sigma,0.7967400351397719,0.20943718414575918,0.23
71,5.5,sigma,0.8764140386537491,0.25386442369749795,0.215
71,6.0,sigma,0.9560880421677264,0.2955939153464997,0.305
71,6.5,sigma,1.0357620456817036,0.33430809314240795,0.335
71,7.0,sigma,1.1154360491956805,0.36998023724933515,0.375
71,7.5,sigma,1.1951100527096579,0.4027370295053829,0.32
