dist,param,n,q,m,rho_eff,theory_pfail,error_rate,error_count,trials,dist_label,target_met
uniform,1,16,257,32,0.03594398563048254,2.4126693553187498e-170,0.0,0,500,uniform,True
uniform,2,16,257,32,0.07188797126096508,5.467048076634091e-44,0.0,0,500,uniform,True
uniform,3,16,257,32,0.1078319568914476,1.7981720060400162e-20,0.0,0,500,uniform,True
uniform,4,16,257,32,0.14377594252193016,3.5189611638950947e-12,0.0,0,500,uniform,True
uniform,5,16,257,32,0.17971992815241267,2.6333780532372356e-08,0.0,0,500,uniform,True
uniform,6,16,257,32,0.2156639137828952,3.5376860560723144e-06,0.0,0,500,uniform,True
uniform,7,16,257,32,0.25160789941337774,7.054563139035952e-05,0.0,0,500,uniform,True
uniform,8,16,257,32,0.2875518850438603,0.0005058615245390669,0.0,0,500,uniform,True
uniform,9,16,257,32,0.3234958706743428,0.0019932946093425843,0.002,1,500,uniform,False
uniform,10,16,257,32,0.35943985630482533,0.005400729591743026,0.004,2,500,uniform,False
uniform,11,16,257,32,0.39538384193530784,0.011432682660688871,0.01,5,500,uniform,False
uniform,12,16,257,32,0.4313278275657904,0.020426388065629013,0.04,20,500,uniform,False
uniform,13,16,257,32,0.467271813196273,0.03234813988664288,0.056,28,500,uniform,False
gaussian,0.5,16,257,32,0.0311284046692607,1.97392901299073e-226,0.0,0,500,gaussian,True
gaussian,1.0,16,257,32,0.0622568093385214,4.673295516468212e-58,0.0,0,500,gaussian,True
gaussian,1.5,16,257,32,0.0933852140077821,9.302136829142437e-27,0.0,0,500,gaussian,True
gaussian,2.0,16,257,32,0.1245136186770428,9.64845164966323e-16,0.0,0,500,gaussian,True
gaussian,2.5,16,257,32,0.1556420233463035,1.3186951723255038e-10,0.0,0,500,gaussian,True
gaussian,3.0,16,257,32,0.1867704280155642,8.595160941326144e-08,0.0,0,500,gaussian,True
gaussian,3.5,16,257,32,0.2178988326848249,4.447653123912536e-06,0.0,0,500,gaussian,True
gaussian,4.0,16,257,32,0.2490272373540856,5.9288464312321534e-05,0.0,0,500,gaussian,True
gaussian,4.5,16,257,32,0.2801556420233463,0.0003577390693541374,0.0,0,500,gaussian,True
gaussian,5.0,16,257,32,0.311284046692607,0.0013158514849287613,0.002,1,500,gaussian,False
gaussian,5.5,16,257,32,0.3424124513618677,0.003495211804552,0.008,4,500,gaussian,False
gaussian,6.0,16,257,32,0.3735408560311284,0.0074266160932800925,0.014,7,500,gaussian,False
gaussian,6.5,16,257,32,0.4046692607003891,0.01346778655101531,0.018,9,500,gaussian,False
gaussian,7.0,16,257,32,0.4357976653696498,0.021753600058504623,0.024,12,500,gaussian,False
gaussian,7.5,16,257,32,0.4669260700389105,0.032220314875255625,0.038,19,500,gaussian,False
gaussian,8.0,16,257,32,0.4980544747081712,0.04466322002749757,0.036,18,500,gaussian,False
gaussian,8.5,16,257,32,0.5291828793774319,0.058797306951024,0.07,35,500,gaussian,False
cbd,1,16,257,32,0.04402221205830646,3.12681023670645e-114,0.0,0,500,cbd,True
cbd,2,16,257,32,0.0622568093385214,4.673295516468212e-58,0.0,0,500,cbd,True
cbd,3,16,257,32,0.07624870794655807,2.7026659948828602e-39,0.0,0,500,cbd,True
cbd,4,16,257,32,0.08804442411661292,6.775167306161877e-30,0.0,0,500,cbd,True
cbd,5,16,257,32,0.09843665868228418,3.0272725946715488e-24,0.0,0,500,cbd,True
cbd,6,16,257,32,0.1078319568914476,1.7981720060400162e-20,0.0,0,500,cbd,True
cbd,7,16,257,32,0.11647182526922775,9.023206929044166e-18,0.0,0,500,cbd,True
cbd,8,16,257,32,0.1245136186770428,9.64845164966323e-16,0.0,0,500,cbd,True
cbd,9,16,257,32,0.13206663617491937,3.677051245334295e-14,0.0,0,500,cbd,True
cbd,10,16,257,32,0.13921045774317758,6.801451406817837e-13,0.0,0,500,cbd,True
cbd,11,16,257,32,0.14600515983886161,7.43300555403239e-12,0.0,0,500,cbd,True
cbd,12,16,257,32,0.15249741589311613,5.472165180328322e-11,0.0,0,500,cbd,True
cbd,13,16,257,32,0.15872434283557305,2.9720268503298733e-10,0.0,0,500,cbd,True
cbd,14,16,257,32,0.16471603493009124,1.2707317094835152e-09,0.0,0,500,cbd,True
cbd,15,16,257,32,0.17049729416503226,4.486032216958577e-09,0.0,0,500,cbd,True
cbd,16,16,257,32,0.17608884823322585,1.3552302567768231e-08,0.0,0,500,cbd,True
cbd,17,16,257,32,0.181508230189737,3.600751371744474e-08,0.0,0,500,cbd,True
cbd,18,16,257,32,0.1867704280155642,8.595160941326144e-08,0.0,0,500,cbd,True
cbd,19,16,257,32,0.19188837363327552,1.8745809338504035e-07,0.0,0,500,cbd,True
